"CITATION","SAMPLE NAME","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MIN.)","LONGITUDE (MAX.)","LAND/SEA (SAMPLING)","ELEVATION (MIN.)","ELEVATION (MAX.)","ROCK NAME","ROCK TEXTURE","DRILLING DEPTH (MIN.)","DRILLING DEPTH (MAX.)","ALTERATION","MINERAL","SPOT","CRYSTAL","RIM/CORE (MINERAL GRAINS)","GRAIN SIZE","PRIMARY/SECONDARY","SIO2(WT%)","TIO2(WT%)","ZRO2(WT%)","HFO2(WT%)","THO2(WT%)","UO2(WT%)","UO3(WT%)","AL2O3(WT%)","CR2O3(WT%)","LA2O3(WT%)","CE2O3(WT%)","CEO2(WT%)","ND2O3(WT%)","SM2O3(WT%)","EU2O3(WT%)","GD2O3(WT%)","DY2O3(WT%)","ER2O3(WT%)","Y2O3(WT%)","V2O3(WT%)","V2O5(WT%)","NB2O3(WT%)","NB2O5(WT%)","TA2O3(WT%)","TA2O5(WT%)","PR2O3(WT%)","FE2O3T(WT%)","FE2O3(WT%)","FEOT(WT%)","FEO(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","BAO(WT%)","SRO(WT%)","PBO(WT%)","SNO2(WT%)","NIO(WT%)","ZNO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","F(WT%)","CL(WT%)","OH(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","FE(WT%)","NA(WT%)","HE(MOL/G)","LI(PPM)","BE(PPM)","B(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","SI(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","CD(PPM)","SN(PPM)","SB(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","TL(PPM)","PB(PPM)","PB204(PPM)","PB206(PPM)","PB207(PPM)","PB208(PPM)","BI(PPM)","TH(PPM)","TH232(PPM)","U(PPM)","U238(PPM)","ND143_ND144","ND145_ND144","ND146_ND144","ND148_ND144","ND150_ND144","SM147_ND144","SR87_SR86","RB87_SR86","PB206_PB204","PB206_PB207","PB206_PB208","PB207_PB204","PB207_PB206","PB208_PB204","PB208_PB206","CE138_CE142","LA138_CE142","PB206_U238","PB207_U235","PB208_TH232","RA226_TH230_ACT","TH230_TH232_ACT","TH230_U238_ACT","U234_U238_ACT","U238_PB204","U238_PB206","U238_TH232_ACT","D18O(‰)","D18O(‰VSMOW)","CHROMITE(MOL%)","HERCYNITE(MOL%)","JACOBSITE(MOL%)","MG-CHROMITE(MOL%)","MAGNESIOFERRITE(MOL%)","MAGNETITE(MOL%)","SPINEL(MOL%)","ULVOSPINEL(MOL%)","AGE(KA)","AGE(MA)",
"[2670] KAY S. M. (1983)","samp. ADK27","CONVERGENT MARGIN","ALEUTIAN ARC / CENTRAL ALEUTIAN ARC / ADAK","FINGER BAY PLUTON","51.84","51.84","-176.58","-176.58","subaerial","","","MONZODIORITE, QUARTZ","","","","","TITANITE (SPHENE)","1","","","","primary","30.72","30.36","","","","","","6.93","0.05","","","","","","","","","","","","","","","","","","1.32","","","","28.38","0.03","0.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[2670] KAY S. M. (1983)","samp. FB61","CONVERGENT MARGIN","ALEUTIAN ARC / CENTRAL ALEUTIAN ARC / ADAK","FINGER BAY PLUTON","51.84","51.84","-176.58","-176.58","subaerial","","","MONZODIORITE, QUARTZ","","","","","TITANITE (SPHENE)","2","","","","primary","30.8","35.03","","","","","","2.48","0","","","","","","","","","","","","","","","","","","2.09","","","","29.15","0.02","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[3001] PANKHURST R. J. (1976)","samp. EG4583","CONTINENTAL FLOOD BASALT","NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / EAST GREENLAND / KANGERDLUGSSUAQ INTRUSION","KANGERDLUGSSUAQ FJORD AREA","68","68.5","-32","-33","subaerial","","","SYENITE, ALKALINE, NEPHELINE","","","","","TITANITE (SPHENE)","","","","","primary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.2","45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70485","0.205","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[3527] BOURDON B. (2000)","samp. PAR200-1","CONVERGENT MARGIN","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / CHILE / PARINACOTA","NEVADOS DE PAYACHATA, DEBRIS FLOW","-18.15","-18.16","-69.15","-69.16","subaerial","","","DACITE","","","","","TITANITE (SPHENE)","","","","","primary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.483","","","","","0.358","","","","","","","","","","","","",
"[3527] BOURDON B. (2000)","samp. PAR91-014","CONVERGENT MARGIN","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / CHILE / PARINACOTA","","-18.2014","-18.2014","-69.15","-69.15","subaerial","","","RHYOLITE","","","","","TITANITE (SPHENE)","","","","","primary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.52","","","","","0.374","","","","","","","","","","","","",
"[3553] JOHNSON CLARK M. (1990)","samp. J-12","RIFT VOLCANICS","BASIN AND RANGE - GREAT BASIN / BASIN AND RANGE / NEW MEXICO / LATIR VOLCANIC FIELD / RIO HONDO PLUTON","","35","36","-105","-106","subaerial","","","GRANODIORITE","COARSE-GRAINED","","","","TITANITE (SPHENE)","","","","","primary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.4","54.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70597","1.1442","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[3965] LUHR J. F. (1984)","samp. 7","CONVERGENT MARGIN","MEXICAN VOLCANIC BELTS / TRANS MEXICAN VOLCANIC BELT / CHIAPAS / EL CHICHON","","17.36","17.36","-93.23","-93.23","subaerial","","","TRACHYANDESITE, SPHENE","","","","","TITANITE (SPHENE)","","","","","primary","30.04","36.84","","","","","","0.92","0","0.22","0.71","","","","","","","","0.29","","0.07","","","","","","","","1.3","","26.95","0.02","0.13","0.14","0.01","","","","","0","0","","","0.21","0","","","0.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[3965] LUHR J. F. (1984)","samp. 7","CONVERGENT MARGIN","MEXICAN VOLCANIC BELTS / TRANS MEXICAN VOLCANIC BELT / CHIAPAS / EL CHICHON","","17.36","17.36","-93.23","-93.23","subaerial","","","TRACHYANDESITE, SPHENE","","","","","TITANITE (SPHENE)","","","","","primary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0.11","","","","","","","","","","","","","","","10.5","","","0","1550","","7","0","","211","","","","","","","","26","","","","0","0","1580","5160","","3200","649","156","","77","473","","","","198","24.8","55","164.7","76","","","","","","","","326","","57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[4445] ANDERSON A. T. JR. (1971)","samp. HC4-5SV-2E-4","CONVERGENT MARGIN","CASCADES / HIGH CASCADES / CALIFORNIA / LASSEN VOLCANIC CENTER","HAT CREEK VALLEY","40.5","40.5","-121.085","-121.085","subaerial","","","THOLEIITE, OLIVINE","","","","","TITANITE (SPHENE)","","microphenocryst","","","primary","30.4","38.3","0.35","","","","","0","","","","","","","","","","","","","","","","","","","","","","3.1","28.5","0.1","0.05","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[5661] NORTHRUP C. J. (1999)","samp. 92PL-53","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SLAVE PROVINCE_ARCHEAN / SLAVE PROVINCE GNEISS COMPLEXES","POINT LAKE AREA","65.29","65.29","-113.2183","-113.2183","subaerial","","","GNEISS","","","","","TITANITE (SPHENE)","","","","","primary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.34","","","","","","","","65.43","","","","","","","","","","2560.9","","","","0.21166","","0.367","","","0.5691","16.6087","","","","","","","","","","","","","","","","","","","","2904.1 \ 2912.5 \ 2918.3",
