"CITATION","SAMPLE NAME","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MIN.)","LONGITUDE (MAX.)","LAND/SEA (SAMPLING)","ELEVATION (MIN.)","ELEVATION (MAX.)","ROCK NAME","ROCK TEXTURE","DRILLING DEPTH (MIN.)","DRILLING DEPTH (MAX.)","ALTERATION","MINERAL","SPOT","CRYSTAL","RIM/CORE (MINERAL GRAINS)","GRAIN SIZE","PRIMARY/SECONDARY","SIO2(WT%)","TIO2(WT%)","ZRO2(WT%)","HFO2(WT%)","THO2(WT%)","UO2(WT%)","UO3(WT%)","AL2O3(WT%)","CR2O3(WT%)","LA2O3(WT%)","CE2O3(WT%)","CEO2(WT%)","ND2O3(WT%)","SM2O3(WT%)","EU2O3(WT%)","GD2O3(WT%)","DY2O3(WT%)","ER2O3(WT%)","Y2O3(WT%)","V2O3(WT%)","V2O5(WT%)","NB2O3(WT%)","NB2O5(WT%)","TA2O3(WT%)","TA2O5(WT%)","PR2O3(WT%)","FE2O3T(WT%)","FE2O3(WT%)","FEOT(WT%)","FEO(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","BAO(WT%)","SRO(WT%)","PBO(WT%)","SNO2(WT%)","NIO(WT%)","ZNO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","F(WT%)","CL(WT%)","OH(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","FE(WT%)","NA(WT%)","HE(MOL/G)","LI(PPM)","BE(PPM)","B(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","SI(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","CD(PPM)","SN(PPM)","SB(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","TL(PPM)","PB(PPM)","PB204(PPM)","PB206(PPM)","PB207(PPM)","PB208(PPM)","BI(PPM)","TH(PPM)","TH232(PPM)","U(PPM)","U238(PPM)","ND143_ND144","ND145_ND144","ND146_ND144","ND148_ND144","ND150_ND144","SM147_ND144","SR87_SR86","RB87_SR86","PB206_PB204","PB206_PB207","PB206_PB208","PB207_PB204","PB207_PB206","PB208_PB204","PB208_PB206","CE138_CE142","LA138_CE142","PB206_U238","PB207_U235","PB208_TH232","RA226_TH230_ACT","TH230_TH232_ACT","TH230_U238_ACT","U234_U238_ACT","U238_PB204","U238_PB206","U238_TH232_ACT","D18O(‰)","D18O(‰VSMOW)","CHROMITE(MOL%)","HERCYNITE(MOL%)","JACOBSITE(MOL%)","MG-CHROMITE(MOL%)","MAGNESIOFERRITE(MOL%)","MAGNETITE(MOL%)","SPINEL(MOL%)","ULVOSPINEL(MOL%)","AGE(KA)","AGE(MA)",
"[18324] BRENNA M. (2014)","samp. NA11D","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / KOREA - CENOZOIC/QUATERNARY / KOREAN PENINSULA / ULLEUNG ISLAND","","37.505","37.505","130.8653","130.8653","subaerial","","","NOT GIVEN","PHANERITIC","","","","TITANITE (SPHENE)","NA11D_PHASE3_1","","","","primary","29.212","29.45","","","","","","1.406","","","","","","","","","","","","","","","","","","","","","2.068","","25.828","0.015","0.099","","","","","","","","0.245","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[18324] BRENNA M. (2014)","samp. NA11D","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / KOREA - CENOZOIC/QUATERNARY / KOREAN PENINSULA / ULLEUNG ISLAND","","37.505","37.505","130.8653","130.8653","subaerial","","","NOT GIVEN","PHANERITIC","","","","TITANITE (SPHENE)","NA11D_PHASE3_2","","","","primary","29.485","32.569","","","","","","1.583","","","","","","","","","","","","","","","","","","","","","1.795","","26.317","","0.105","","","","","","","","0.034","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[18324] BRENNA M. (2014)","samp. NA11D","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / KOREA - CENOZOIC/QUATERNARY / KOREAN PENINSULA / ULLEUNG ISLAND","","37.505","37.505","130.8653","130.8653","subaerial","","","NOT GIVEN","PHANERITIC","","","","TITANITE (SPHENE)","NA11D_PHASE3_3","","","","primary","29.622","31.798","","","","","","1.59","","","","","","","","","","","","","","","","","","","","","2.006","","26.65","","0.103","","","","","","","0.026","0.061","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[18324] BRENNA M. (2014)","samp. NA11D","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / KOREA - CENOZOIC/QUATERNARY / KOREAN PENINSULA / ULLEUNG ISLAND","","37.505","37.505","130.8653","130.8653","subaerial","","","NOT GIVEN","PHANERITIC","","","","TITANITE (SPHENE)","NA11D_PHASE3_4","","","","primary","28.948","31.171","","","","","","1.38","","","","","","","","","","","","","","","","","","","","","1.645","","25.454","0.023","0.078","","","","","","","0.033","0.055","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[18324] BRENNA M. (2014)","samp. NA11D","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / KOREA - CENOZOIC/QUATERNARY / KOREAN PENINSULA / ULLEUNG ISLAND","","37.505","37.505","130.8653","130.8653","subaerial","","","NOT GIVEN","PHANERITIC","","","","TITANITE (SPHENE)","NA11D_PHASE3_5","","","","primary","29.53","31.069","","","","","","1.49","","","","","","","","","","","","","","","","","","","","","1.627","","26.28","","0.131","","","","","","","0.017","0.058","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[18324] BRENNA M. (2014)","samp. NA11D","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / KOREA - CENOZOIC/QUATERNARY / KOREAN PENINSULA / ULLEUNG ISLAND","","37.505","37.505","130.8653","130.8653","subaerial","","","NOT GIVEN","PHANERITIC","","","","TITANITE (SPHENE)","NA11D_PHASE3_6","","","","primary","29.869","32.351","","","","","","1.506","","","","","","","","","","","","","","","","","","","","","1.948","","26.41","","0.128","","","","","","","","0.055","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[18324] BRENNA M. (2014)","samp. NA11D","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / KOREA - CENOZOIC/QUATERNARY / KOREAN PENINSULA / ULLEUNG ISLAND","","37.505","37.505","130.8653","130.8653","subaerial","","","NOT GIVEN","PHANERITIC","","","","TITANITE (SPHENE)","NA11D_PHASE10_1","","","","primary","29.262","31.529","","","","","","1.547","0.029","","","","","","","","","","","","","","","","","","","","1.869","","26.48","0.013","0.044","","","","","","","0.006","0.117","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[18324] BRENNA M. (2014)","samp. NA11D","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / KOREA - CENOZOIC/QUATERNARY / KOREAN PENINSULA / ULLEUNG ISLAND","","37.505","37.505","130.8653","130.8653","subaerial","","","NOT GIVEN","PHANERITIC","","","","TITANITE (SPHENE)","NA11D_PHASE10_2","","","","primary","30.009","32.984","","","","","","1.485","","","","","","","","","","","","","","","","","","","","","2.032","","26.169","","0.093","","","","","","","","0.055","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[18324] BRENNA M. (2014)","samp. NA11D","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / KOREA - CENOZOIC/QUATERNARY / KOREAN PENINSULA / ULLEUNG ISLAND","","37.505","37.505","130.8653","130.8653","subaerial","","","NOT GIVEN","PHANERITIC","","","","TITANITE (SPHENE)","NA11D_PHASE10_3","","","","primary","29.626","33.01","","","","","","1.218","","","","","","","","","","","","","","","","","","","","","2.552","","26.812","","0.061","","","","","","","0.013","0.342","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[18461] CHALAPATHI RAO N. V. (2014)","samp. AK/SGL3/1","INTRAPLATE VOLCANICS","DHARWAR CRATON_PROTEROZOIC / EASTERN DHARWAR CRATON / RAMADUGU LAMPROITE FIELD / SOMAVARIGUDEM-3 LAMPROITE","","16.8814","16.8814","79.3547","79.3547","subaerial","","","LAMPROITE","","","","","TITANITE (SPHENE)","","","","","primary","30.81","39.78","","","","","","0.63","","","","","","","","","","","","","","","","","","","","","0.89","","26.61","0.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[18461] CHALAPATHI RAO N. V. (2014)","samp. NVC/RL-3","INTRAPLATE VOLCANICS","DHARWAR CRATON_PROTEROZOIC / EASTERN DHARWAR CRATON / RAMADUGU LAMPROITE FIELD / RAMADUGU-3 LAMPROITE","","16.8368","16.8368","79.2801","79.2801","subaerial","","","LAMPROITE","","","","","TITANITE (SPHENE)","","","","","primary","36.02","27.8","","","","","","2.12","","","","","","","","","","","","","","","","","","","","","4.88","","23.98","3.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[18461] CHALAPATHI RAO N. V. (2014)","samp. AK/RL1/3","INTRAPLATE VOLCANICS","DHARWAR CRATON_PROTEROZOIC / EASTERN DHARWAR CRATON / RAMADUGU LAMPROITE FIELD / RAMADUGU-1 LAMPROITE","","16.8381","16.8381","79.278","79.278","subaerial","","","LAMPROITE","","","","","TITANITE (SPHENE)","","","","","primary","32.15","36.59","","","","","","3.04","","","","","","","","","","","","","","","","","","","","","0.86","","26.5","0.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[18461] CHALAPATHI RAO N. V. (2014)","samp. NVC/RL-3/1","INTRAPLATE VOLCANICS","DHARWAR CRATON_PROTEROZOIC / EASTERN DHARWAR CRATON / RAMADUGU LAMPROITE FIELD / RAMADUGU-3 LAMPROITE","","16.8368","16.8368","79.2801","79.2801","subaerial","","","LAMPROITE","","","","","TITANITE (SPHENE)","","","","","primary","32.76","35.9","","","","","","3.68","","","","","","","","","","","","","","","","","","","","","0.94","","26.58","0.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[18461] CHALAPATHI RAO N. V. (2014)","samp. NVC/RL-3/1","INTRAPLATE VOLCANICS","DHARWAR CRATON_PROTEROZOIC / EASTERN DHARWAR CRATON / RAMADUGU LAMPROITE FIELD / RAMADUGU-3 LAMPROITE","","16.8368","16.8368","79.2801","79.2801","subaerial","","","LAMPROITE","","","","","TITANITE (SPHENE)","","","","","primary","32.01","35.99","","","","","","2.6","","","","","","","","","","","","","","","","","","","","","1.78","","24.36","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[18461] CHALAPATHI RAO N. V. (2014)","samp. AK/RL5/2","INTRAPLATE VOLCANICS","DHARWAR CRATON_PROTEROZOIC / EASTERN DHARWAR CRATON / RAMADUGU LAMPROITE FIELD / RAMADUGU-5 LAMPROITE","","16.8306","16.8306","79.2883","79.2883","subaerial","","","LAMPROITE","","","","","TITANITE (SPHENE)","","","","","primary","32","34.89","","","","","","5.25","","","","","","","","","","","","","","","","","","","","","0.75","","26.54","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[18461] CHALAPATHI RAO N. V. (2014)","samp. AK/RL5/2","INTRAPLATE VOLCANICS","DHARWAR CRATON_PROTEROZOIC / EASTERN DHARWAR CRATON / RAMADUGU LAMPROITE FIELD / RAMADUGU-5 LAMPROITE","","16.8306","16.8306","79.2883","79.2883","subaerial","","","LAMPROITE","","","","","TITANITE (SPHENE)","","","","","primary","32","36.09","","","","","","1.53","","","","","","","","","","","","","","","","","","","","","1.35","","27.25","0.87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[18461] CHALAPATHI RAO N. V. (2014)","samp. AK/RL4/B/2","INTRAPLATE VOLCANICS","DHARWAR CRATON_PROTEROZOIC / EASTERN DHARWAR CRATON / RAMADUGU LAMPROITE FIELD / RAMADUGU-4 LAMPROITE","","16.8385","16.8385","79.2771","79.2771","subaerial","","","LAMPROITE","","","","","TITANITE (SPHENE)","","","","","primary","31.43","36.67","","","","","","2.51","","","","","","","","","","","","","","","","","","","","","0.76","","27.95","0.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[18626] WANG LIAN-XUN (2014)","samp. M1","INTRAPLATE VOLCANICS","EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / GERMANY / UPPER RHINEGRABEN / KAISERSTUHL VOLCANIC COMPLEX","","48.1","48.1","7.67","7.67","subaerial","","","PHONOLITE","","","","","TITANITE (SPHENE)","","","","","primary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4234","","","","","","","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[18649] KAMENETSKY V. S. (2014)","samp. MONASTERY","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_MESOZOIC / SOUTH AFRICA / MONASTERY KIMBERLITE","","-28.810833","-28.810833","27.42195","27.42195","subaerial","1629","1629","KIMBERLITE","","","","","TITANITE (SPHENE)","","","","","secondary","29.51","34.55","0","0","","","","0","0","","","","","","","","","","","","","","0.34","","","","","","5.06","","28.27","0","0","0","0","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[18667] SAN JOSE M. L. (2000)","samp. METAPELITE","INTRAPLATE VOLCANICS","EUROPEAN OROGENIC BELT - PALEOZOIC / IBERIAN PENINSULA / SPAIN","CAMARENA REGION","40","40","0","0","subaerial","","","METAPELITE","","","","","TITANITE (SPHENE)","","","","","primary","29.768","37.56","0.462","","","","","0.688","0","","","","","","","","","","0","","","0.137","","0","","","","","1.971","","31.879","0.027","0.045","","0","","","","","0","0.018","","","0.011","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[18667] SAN JOSE M. L. (2000)","samp. METAPELITE","INTRAPLATE VOLCANICS","EUROPEAN OROGENIC BELT - PALEOZOIC / IBERIAN PENINSULA / SPAIN","CAMARENA REGION","40","40","0","0","subaerial","","","METAPELITE","","","","","TITANITE (SPHENE)","","","","","primary","29.636","37.175","0.863","","","","","0.673","0","","","","","","","","","","0.164","","","0","","0","","","","","1.976","","31.477","0","0","","0.031","","","","","0.013","0.018","","","0.011","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[18667] SAN JOSE M. L. (2000)","samp. METAPELITE","INTRAPLATE VOLCANICS","EUROPEAN OROGENIC BELT - PALEOZOIC / IBERIAN PENINSULA / SPAIN","CAMARENA REGION","40","40","0","0","subaerial","","","METAPELITE","","","","","TITANITE (SPHENE)","","","","","primary","29.674","37.178","0.269","","","","","0.788","0","","","","","","","","","","0.212","","","0","","0","","","","","2.004","","31.647","0.013","0.04","","0","","","","","0","0.012","","","0.211","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[18667] SAN JOSE M. L. (2000)","samp. METAPELITE","INTRAPLATE VOLCANICS","EUROPEAN OROGENIC BELT - PALEOZOIC / IBERIAN PENINSULA / SPAIN","CAMARENA REGION","40","40","0","0","subaerial","","","METAPELITE","","","","","TITANITE (SPHENE)","","","","","primary","29.82","37.335","0.782","","","","","0.682","0.018","","","","","","","","","","0","","","0","","0","","","","","1.923","","31.28","0","0.025","","0","","","","","0","0.024","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[18667] SAN JOSE M. L. (2000)","samp. METAPELITE","INTRAPLATE VOLCANICS","EUROPEAN OROGENIC BELT - PALEOZOIC / IBERIAN PENINSULA / SPAIN","CAMARENA REGION","40","40","0","0","subaerial","","","METAPELITE","","","","","TITANITE (SPHENE)","","","","","primary","30.68","37.33","0.459","","","","","0.671","0","","","","","","","","","","0","","","0.179","","0","","","","","1.811","","31.598","0.02","0.084","","0.101","","","","","0","0.039","","","0.022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[18667] SAN JOSE M. L. (2000)","samp. METAPELITE","INTRAPLATE VOLCANICS","EUROPEAN OROGENIC BELT - PALEOZOIC / IBERIAN PENINSULA / SPAIN","CAMARENA REGION","40","40","0","0","subaerial","","","METAPELITE","","","","","TITANITE (SPHENE)","","","","","primary","29.787","37.452","1.033","","","","","0.678","0","","","","","","","","","","0.376","","","0.091","","0","","","","","2.182","","30.912","0.008","0.049","","0","","","","","0","0.019","","","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[18713] PLATEVOET B. (2014)","samp. 97-60","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT - CENOZOIC/QUATERNARY / TURKEY / WESTERN ANATOLIAN VOLCANIC BELT / GÖLCÜK","","39.4","39.4","28","28","subaerial","","","NOT GIVEN","","","","","TITANITE (SPHENE)","","","","","primary","28.81","33.94","","","","","","1.5","","","","","","","","","","","","","","","","","","","","","2.41","","24.75","0.03","0.04","0","","","","","","0","0.03","","","0.61","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[18713] PLATEVOET B. (2014)","samp. 97-60","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT - CENOZOIC/QUATERNARY / TURKEY / WESTERN ANATOLIAN VOLCANIC BELT / GÖLCÜK","","39.4","39.4","28","28","subaerial","","","NOT GIVEN","","","","","TITANITE (SPHENE)","","","","","primary","28.79","33.63","","","","","","1.36","","","","","","","","","","","","","","","","","","","","","2.14","","24.65","0.02","0.07","0","","","","","","0","0.08","","","0.92","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[18713] PLATEVOET B. (2014)","samp. 97-20","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT - CENOZOIC/QUATERNARY / TURKEY / WESTERN ANATOLIAN VOLCANIC BELT / GÖLCÜK","","39.4","39.4","28","28","subaerial","","","NOT GIVEN","","","","","TITANITE (SPHENE)","","","","","primary","28.16","34.41","","","","","","1.48","","","","","","","","","","","","","","","","","","","","","2.76","","25.64","0","0.04","0","","","","","","0.02","0.06","","","0.33","0.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[18713] PLATEVOET B. (2014)","samp. 97-20","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT - CENOZOIC/QUATERNARY / TURKEY / WESTERN ANATOLIAN VOLCANIC BELT / GÖLCÜK","","39.4","39.4","28","28","subaerial","","","NOT GIVEN","","","","","TITANITE (SPHENE)","","","","","primary","28.51","34.11","","","","","","1.42","","","","","","","","","","","","","","","","","","","","","2.31","","25.49","0","0.03","0","","","","","","0","0.07","","","0.37","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[18713] PLATEVOET B. (2014)","samp. 06-013","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT - CENOZOIC/QUATERNARY / TURKEY / WESTERN ANATOLIAN VOLCANIC BELT / GÖLCÜK","","39.4","39.4","28","28","subaerial","","","LAMPROPHYRE","","","","","TITANITE (SPHENE)","","","","","primary","0.16","1.74","","","","","","11.51","46.38","","","","","","","","","","","","","","","","","","","","24.58","","0.05","12.1","0.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.5577540941398","0","0.643762648283203","15.1086338912999","19.0901110510004","0","20.6216042102241","3.97813410505262","","",
"[18713] PLATEVOET B. (2014)","samp. 06-013","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT - CENOZOIC/QUATERNARY / TURKEY / WESTERN ANATOLIAN VOLCANIC BELT / GÖLCÜK","","39.4","39.4","28","28","subaerial","","","LAMPROPHYRE","","","","","TITANITE (SPHENE)","","","","","primary","0.1","2.06","","","","","","10.88","44.28","","","","","","","","","","","","","","","","","","","","26.2","","0.2","12.14","0.29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.6463377473791","0","0.745474889211554","13.4077883346537","22.0395754488091","0","19.4592130927092","4.70161048723729","","",
"[18713] PLATEVOET B. (2014)","samp. E06-005","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT - CENOZOIC/QUATERNARY / TURKEY / WESTERN ANATOLIAN VOLCANIC BELT / GÖLCÜK","","39.4","39.4","28","28","subaerial","","","NOT GIVEN","","","","","TITANITE (SPHENE)","","","","","primary","0.3","4.2","","","","","","3.48","0.01","","","","","","","","","","","","","","","","","","","","82.21","","0.09","1.08","0.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.49440351586588E-02","1.67067935288246","3.04589518408582","0","0","75.5494629062741","7.76304225774284","11.9559762638562","","",
"[18713] PLATEVOET B. (2014)","samp. E06-005","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT - CENOZOIC/QUATERNARY / TURKEY / WESTERN ANATOLIAN VOLCANIC BELT / GÖLCÜK","","39.4","39.4","28","28","subaerial","","","NOT GIVEN","","","","","TITANITE (SPHENE)","","","","","primary","0.16","4.36","","","","","","3.41","0","","","","","","","","","","","","","","","","","","","","82.98","","0.08","0.92","0.98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","2.37745107737848","3.09054212234489","0","0","74.8420342170626","7.48211411760803","12.207858465606","","",
